Date,250092006_1,250092006_3,250095005_1,250095005_3,250096001_1,250213003_3,250230005_1,250230005_2,250230005_3,250250002_1,250250042_1,250250042_3,250250043_1,250250043_2,250250043_3,250250044_1,250250044_3,250250044_4,330150014_1,330150014_6,330150018_1,330150018_2,330150018_3,330150018_4
11/20/2016,0,-1,2.9,-1.4,,,2.7,1.7,-1.5,2.7,0.4,0.3,2.2,2.5,4,,3.8,10.7,2,1.1,1.3,,,
11/23/2016,3,-1.5,5.6,0.2,1.2,,2.9,1.7,0.1,5.3,1.9,5.4,6.7,5.7,9.4,4.2,4.7,13.1,,-0.3,2.9,,,
11/26/2016,4.3,3.5,6.6,3.7,5,,8.1,7.5,8.1,6.6,6.4,10.9,12.5,11.8,17,9.6,11.4,19.1,7.9,,7.4,,4.3,
11/29/2016,4.9,3.4,9.6,7,10.5,,8.8,9.7,7.5,10,7.7,9,8.9,,12.3,9.3,10.1,17.7,,5.1,8.9,,9,
12/2/2016,4,1.9,2.4,-0.3,2.2,,2.5,2.3,-0.5,3.5,5.7,4.9,5,4.9,7.6,,4.7,13.9,3,2.8,4.7,,0.9,
12/5/2016,5.7,5.9,9.5,8,8.8,,6.4,6.9,6.2,8.5,8.5,12.6,8,8.2,13.9,,10.9,19.4,,11.9,8.4,,9.5,
12/8/2016,5.3,7,6.7,7.7,,,8.9,8.9,8.9,7,7.9,12.6,9.7,7.9,15.9,7.5,12.4,21.3,6.9,9.8,6.1,,5.9,
12/11/2016,5.7,6.7,8.6,8.7,,,10.3,11,9.6,7.4,8.7,14.6,6.1,6.5,14.5,6.7,11.4,21.8,,10,8.6,,10.2,
12/14/2016,8.5,7.1,6.9,6.4,7.4,,10.4,12.6,8.9,8.9,8,14.1,10.2,10.9,17.8,11.6,,24.3,6.7,7.1,5.9,,6.1,
12/17/2016,10.5,9.5,11.2,13.5,,,9.1,8.3,10,11.4,9,16.1,12,11.5,20.6,12.5,14.9,24.4,,13.2,11.3,,13.9,
12/20/2016,7.5,6.8,9.8,8.4,7.7,,6.4,5.3,3.9,9.1,6.3,10,8.5,10,16.1,9,11.4,21.8,8.4,11.8,8.3,,8,
12/23/2016,6.5,4.5,6.6,5.9,5.2,,,7,,,7,9.3,7,8.9,12.8,7.3,10.6,17.5,,6.2,8.7,,4.7,
12/26/2016,5.1,1.7,4.8,2.7,3.2,,2.7,4.6,2,,3.4,8,3.4,7.2,10.2,3.2,5,13.4,7.9,5,3.9,,3.5,
12/29/2016,4.7,1.6,5.1,2,4.5,,6.9,8.2,3.1,6.2,5.6,9.2,5.6,9.3,9.6,9.7,7.9,16.2,,3.1,3.3,,3.2,
1/2/2016,,4.9,,4.7,,9.2,,,2.8,,,8.3,6.2,7,6.6,,8,,,4,,,5.2,
1/3/2016,,8.4,,7.7,,12.8,,,7.9,,,11.4,7.3,7.7,10.3,,11,,,7.6,,,6.6,
1/5/2016,,5.3,,,,10.7,,,5.6,,,8.6,5.7,5.7,8.6,,9.5,10.3,,5.2,,,6,
1/6/2016,,7.3,,,,13,,,8.5,,,11.3,6.9,7.7,8.5,,10.7,12.2,,6.8,,,8.5,
1/8/2016,,9.1,,10.2,,13.3,,,9.1,,,12.9,8.3,8.4,11.9,,11.3,10.9,,8.3,,,13.1,
1/9/2016,,6.9,,9,,10.7,,,9.7,,,13.3,10.5,11.7,14.1,,12.1,11.3,,4.9,,,6.1,
1/11/2016,,2.9,,1.9,,7.4,,,-1.3,,,5.1,3,3.5,3,,4.8,5.4,,2.7,,,1.9,
1/12/2016,,5.8,,5.8,,,,,2.9,,,9.8,4.2,11.9,7,,8.7,9.9,,5.9,,,7.5,
1/14/2016,,7.3,,6.6,,,,,6.7,,,13.8,6.8,7,9.6,,14.5,14.7,,6.9,,,7.4,
1/15/2016,,14.7,,15.1,,,,,12.9,,,17.6,7.5,7.4,13.5,,14.9,14.4,,12.3,,,13.8,
1/17/2016,,4.4,,4.6,,,,,4.3,,,8.8,6.6,6.1,6.7,,7.2,8.1,,2.4,,,4.2,
1/18/2016,,2.5,,2.3,,,,,2.2,,,6.9,4.8,4.8,5.7,,7.9,9.1,,3.4,,,4.2,
1/20/2016,,2.3,,1.8,,,,,-1.2,,,5.5,5.5,5,8.2,,5.6,6.5,,4.8,,,1.9,
1/21/2016,,1,,1.3,,,,,-0.4,,,5,5.5,5.2,7.9,,4.3,7,,1.6,,,3,
1/23/2016,,2.7,,3.8,,,,,1.3,,,6,3.3,3,6,,5.7,6.5,,3.8,,,3.5,
1/24/2016,,2,,2.1,,,,,1.7,,,6.9,4.6,5.2,7.9,,10.9,11.4,,3.6,,,3.7,
1/26/2016,,9.4,,8.1,,,,,8.2,,,11.8,9,15.9,11.9,,12.7,11.4,,10.5,,,8.3,
1/27/2016,,5,,4.9,,,,,5,,,6.5,6.7,6.8,7.7,,9.2,8.8,,2.3,,,3.9,
1/29/2016,,9.4,,9.1,,,,,10.8,,,13.2,11.6,10.7,15.4,,14,14.6,,11.3,,,8.5,
1/30/2016,,6.1,,5.2,,,,,2.1,,,8.1,5.7,5.1,7.7,,6.5,7.5,,4.1,,,5.3,
2/1/2016,,8.1,,7.2,,,,,6.7,,,8.9,9.5,9.2,9.8,,9.7,8.1,,,,,7.5,
2/2/2016,,3,,,,,,,1.7,,,7.7,5,5.6,3.1,,6.9,7,,0.7,,,3,
2/4/2016,,2.6,,,,,,,2.5,,,2.7,8,8.2,5.5,,5.4,3.2,,4.7,,,2.3,
2/5/2016,,2.6,,3.6,,,,,1.5,,,5.7,7.5,6.2,5.6,,7.3,7,,2.8,,,3.9,
2/7/2016,,11.2,,11.2,,,,,11.2,,,15.9,9.5,9.2,12.4,,15.2,13.9,,9.9,,,10.2,
2/8/2016,,2.8,,3.2,,,,,2.1,,,5.9,5.8,4.3,3.5,,7,7.7,,4.6,,,3.2,
2/10/2016,,11.2,,13.2,,,,,13.1,,,16.3,10.1,,14.4,,17,16.7,,13,,,12.8,
2/11/2016,,3.2,,3.4,,,,,0,,,6.6,8.2,6.7,5.7,,6.7,8.9,,4.6,,,5,
2/13/2016,,4.3,,,,,,,1.8,,,9.3,12.8,10.4,12.8,,7.4,10.7,,8.4,,,7.5,
2/14/2016,,3,,,,,,,3.6,,,8.9,11.2,10.6,16.1,,6.7,9.2,,5.3,,,5.2,
2/16/2016,,2.9,,4.3,,,,,6.9,,,8.1,6.7,7.4,7.5,,8.7,7.7,,5.9,,,7.5,
2/17/2016,,4.7,,5.4,,,,,3,,,5.9,7.9,8,6.3,,6.8,8,,6.6,,,5.3,
2/19/2016,,6.5,,5.6,,,,,3.7,,,10.1,6.8,6,7,,6.8,10.3,,7.9,,,4.4,
2/20/2016,,7.9,,5.6,,,,,8.2,,,8.7,10,,7.6,,7.2,8.7,,5.3,,,5.7,
2/22/2016,,3.9,,3,,,,,0.9,,,5.3,,,2.5,,3.9,6.3,,3.9,,,3.7,
